#<n>, T, C1, C2, C3
0.30 0.70 0.32 0.00 0.00
0.30 0.75 0.26 0.00 0.00
0.30 0.80 0.21 0.00 0.00
0.30 0.85 0.16 0.00 0.00
0.30 0.90 0.11 0.00 0.00
0.30 0.95 0.05 0.00 0.00
0.30 1.00 0.00 0.00 0.00
0.35 0.05 1.00 0.76 0.00
0.35 0.10 1.00 0.36 0.00
0.35 0.15 0.99 0.00 0.00
0.35 0.20 0.93 0.00 0.00
0.35 0.25 0.86 0.00 0.00
0.35 0.30 0.80 0.00 0.00
0.35 0.35 0.73 0.00 0.00
0.35 0.40 0.67 0.00 0.00
0.35 0.45 0.61 0.00 0.00
0.35 0.50 0.55 0.00 0.00
0.35 0.55 0.49 0.00 0.00
0.35 0.60 0.43 0.00 0.00
0.35 0.65 0.38 0.00 0.00
0.35 0.70 0.32 0.00 0.00
0.35 0.75 0.27 0.00 0.00
0.35 0.80 0.21 0.00 0.00
0.35 0.85 0.16 0.00 0.00
0.35 0.90 0.11 0.00 0.00
0.35 0.95 0.05 0.00 0.00
0.35 1.00 0.00 0.00 0.00
0.40 0.05 1.00 0.81 0.00
0.40 0.10 1.00 0.45 0.00
0.40 0.15 1.00 0.09 0.00
0.40 0.20 0.95 0.00 0.00
0.40 0.25 0.88 0.00 0.00
0.40 0.30 0.81 0.00 0.00
0.40 0.35 0.75 0.00 0.00
0.40 0.40 0.68 0.00 0.00
0.40 0.45 0.62 0.00 0.00
0.40 0.50 0.56 0.00 0.00
0.40 0.55 0.50 0.00 0.00
0.40 0.60 0.44 0.00 0.00
0.40 0.65 0.38 0.00 0.00
0.40 0.70 0.32 0.00 0.00
0.40 0.75 0.27 0.00 0.00
0.40 0.80 0.21 0.00 0.00
0.40 0.85 0.16 0.00 0.00
0.40 0.90 0.11 0.00 0.00
0.40 0.95 0.05 0.00 0.00
0.40 1.00 0.00 0.00 0.00
0.45 0.05 1.00 0.85 0.00
0.45 0.10 1.00 0.51 0.00
0.45 0.15 1.00 0.18 0.00
0.45 0.20 0.97 0.00 0.00
0.45 0.25 0.90 0.00 0.00
0.45 0.30 0.83 0.00 0.00
0.45 0.35 0.76 0.00 0.00
0.45 0.40 0.69 0.00 0.00
0.45 0.45 0.63 0.00 0.00
0.45 0.50 0.57 0.00 0.00
0.45 0.55 0.50 0.00 0.00
0.45 0.60 0.44 0.00 0.00
0.45 0.65 0.38 0.00 0.00
0.45 0.70 0.33 0.00 0.00
0.45 0.75 0.27 0.00 0.00
0.45 0.80 0.21 0.00 0.00
0.45 0.85 0.16 0.00 0.00
0.45 0.90 0.11 0.00 0.00
0.45 0.95 0.05 0.00 0.00
0.45 1.00 0.00 0.00 0.00
0.50 0.05 1.00 0.89 0.00
0.50 0.10 1.00 0.57 0.00
0.50 0.15 1.00 0.26 0.00
0.50 0.20 0.99 0.00 0.00
0.50 0.25 0.91 0.00 0.00
0.50 0.30 0.84 0.00 0.00
0.50 0.35 0.77 0.00 0.00
0.50 0.40 0.70 0.00 0.00
0.50 0.45 0.64 0.00 0.00
0.50 0.50 0.57 0.00 0.00
0.50 0.55 0.51 0.00 0.00
0.50 0.60 0.45 0.00 0.00
0.50 0.65 0.39 0.00 0.00
0.50 0.70 0.33 0.00 0.00
0.50 0.75 0.27 0.00 0.00
0.50 0.80 0.22 0.00 0.00
0.50 0.85 0.16 0.00 0.00
0.50 0.90 0.11 0.00 0.00
0.50 0.95 0.05 0.00 0.00
0.50 1.00 0.00 0.00 0.00
0.55 0.05 1.00 0.92 0.00
0.55 0.10 1.00 0.62 0.00
0.55 0.15 1.00 0.33 0.00
0.55 0.20 1.00 0.04 0.00
0.55 0.25 0.93 0.00 0.00
0.55 0.30 0.86 0.00 0.00
0.55 0.35 0.79 0.00 0.00
0.55 0.40 0.72 0.00 0.00
0.55 0.45 0.65 0.00 0.00
0.55 0.50 0.58 0.00 0.00
0.55 0.55 0.52 0.00 0.00
0.55 0.60 0.45 0.00 0.00
0.55 0.65 0.39 0.00 0.00
0.55 0.70 0.33 0.00 0.00
0.55 0.75 0.27 0.00 0.00
0.55 0.80 0.22 0.00 0.00
0.55 0.85 0.16 0.00 0.00
0.55 0.90 0.11 0.00 0.00
0.55 0.95 0.05 0.00 0.00
0.55 1.00 0.00 0.00 0.00
0.60 0.05 1.00 0.96 0.00
0.60 0.10 1.00 0.67 0.00
0.60 0.15 1.00 0.38 0.00
0.60 0.20 1.00 0.11 0.00
0.60 0.25 0.95 0.00 0.00
0.60 0.30 0.87 0.00 0.00
0.60 0.35 0.80 0.00 0.00
0.60 0.40 0.73 0.00 0.00
0.60 0.45 0.66 0.00 0.00
0.60 0.50 0.59 0.00 0.00
0.60 0.55 0.52 0.00 0.00
0.60 0.60 0.46 0.00 0.00
0.60 0.65 0.39 0.00 0.00
0.60 0.70 0.33 0.00 0.00
0.60 0.75 0.27 0.00 0.00
0.60 0.80 0.22 0.00 0.00
0.60 0.85 0.16 0.00 0.00
0.60 0.90 0.11 0.00 0.00
0.60 0.95 0.05 0.00 0.00
0.60 1.00 0.00 0.00 0.00
0.65 0.05 1.00 0.99 0.00
0.65 0.10 1.00 0.71 0.00
0.65 0.15 1.00 0.44 0.00
0.65 0.20 1.00 0.17 0.00
0.65 0.25 0.97 0.00 0.00
0.65 0.30 0.89 0.00 0.00
0.65 0.35 0.81 0.00 0.00
0.65 0.40 0.74 0.00 0.00
0.65 0.45 0.67 0.00 0.00
0.65 0.50 0.60 0.00 0.00
0.65 0.55 0.53 0.00 0.00
0.65 0.60 0.46 0.00 0.00
0.65 0.65 0.40 0.00 0.00
0.65 0.70 0.34 0.00 0.00
0.65 0.75 0.28 0.00 0.00
0.65 0.80 0.22 0.00 0.00
0.65 0.85 0.16 0.00 0.00
0.65 0.90 0.11 0.00 0.00
0.65 0.95 0.05 0.00 0.00
0.65 1.00 0.00 0.00 0.00
0.70 0.05 1.00 1.00 0.07
0.70 0.10 1.00 0.74 0.00
0.70 0.15 1.00 0.48 0.00
0.70 0.20 1.00 0.23 0.00
0.70 0.25 0.99 0.00 0.00
0.70 0.30 0.91 0.00 0.00
0.70 0.35 0.83 0.00 0.00
0.70 0.40 0.75 0.00 0.00
0.70 0.45 0.68 0.00 0.00
0.70 0.50 0.60 0.00 0.00
0.70 0.55 0.53 0.00 0.00
0.70 0.60 0.47 0.00 0.00
0.70 0.65 0.40 0.00 0.00
0.70 0.70 0.34 0.00 0.00
0.70 0.75 0.28 0.00 0.00
0.70 0.80 0.22 0.00 0.00
0.70 0.85 0.16 0.00 0.00
0.70 0.90 0.11 0.00 0.00
0.70 0.95 0.05 0.00 0.00
0.70 1.00 0.00 0.00 0.00
0.75 0.05 1.00 1.00 0.19
0.75 0.10 1.00 0.78 0.00
0.75 0.15 1.00 0.52 0.00
0.75 0.20 1.00 0.27 0.00
0.75 0.25 1.00 0.04 0.00
0.75 0.30 0.93 0.00 0.00
0.75 0.35 0.84 0.00 0.00
0.75 0.40 0.76 0.00 0.00
0.75 0.45 0.69 0.00 0.00
0.75 0.50 0.61 0.00 0.00
0.75 0.55 0.54 0.00 0.00
0.75 0.60 0.47 0.00 0.00
0.75 0.65 0.41 0.00 0.00
0.75 0.70 0.34 0.00 0.00
0.75 0.75 0.28 0.00 0.00
0.75 0.80 0.22 0.00 0.00
0.75 0.85 0.16 0.00 0.00
0.75 0.90 0.11 0.00 0.00
0.75 0.95 0.05 0.00 0.00
0.75 1.00 0.00 0.00 0.00
0.80 0.05 1.00 1.00 0.28
0.80 0.10 1.00 0.81 0.00
0.80 0.15 1.00 0.56 0.00
0.80 0.20 1.00 0.32 0.00
0.80 0.25 1.00 0.09 0.00
0.80 0.30 0.94 0.00 0.00
0.80 0.35 0.86 0.00 0.00
0.80 0.40 0.78 0.00 0.00
0.80 0.45 0.70 0.00 0.00
0.80 0.50 0.62 0.00 0.00
0.80 0.55 0.55 0.00 0.00
0.80 0.60 0.48 0.00 0.00
0.80 0.65 0.41 0.00 0.00
0.80 0.70 0.34 0.00 0.00
0.80 0.75 0.28 0.00 0.00
0.80 0.80 0.22 0.00 0.00
0.80 0.85 0.16 0.00 0.00
0.80 0.90 0.11 0.00 0.00
0.80 0.95 0.05 0.00 0.00
0.80 1.00 0.00 0.00 0.00
0.85 0.05 1.00 1.00 0.37
0.85 0.10 1.00 0.84 0.00
0.85 0.15 1.00 0.60 0.00
0.85 0.20 1.00 0.36 0.00
0.85 0.25 1.00 0.13 0.00
0.85 0.30 0.96 0.00 0.00
0.85 0.35 0.87 0.00 0.00
0.85 0.40 0.79 0.00 0.00
0.85 0.45 0.71 0.00 0.00
0.85 0.50 0.63 0.00 0.00
0.85 0.55 0.55 0.00 0.00
0.85 0.60 0.48 0.00 0.00
0.85 0.65 0.41 0.00 0.00
0.85 0.70 0.35 0.00 0.00
0.85 0.75 0.28 0.00 0.00
0.85 0.80 0.22 0.00 0.00
0.85 0.85 0.16 0.00 0.00
0.85 0.90 0.11 0.00 0.00
0.85 0.95 0.05 0.00 0.00
0.85 1.00 0.00 0.00 0.00
0.90 0.05 1.00 1.00 0.44
0.90 0.10 1.00 0.88 0.00
0.90 0.15 1.00 0.63 0.00
0.90 0.20 1.00 0.40 0.00
0.90 0.25 1.00 0.17 0.00
0.90 0.30 0.98 0.00 0.00
0.90 0.35 0.89 0.00 0.00
0.90 0.40 0.80 0.00 0.00
0.90 0.45 0.72 0.00 0.00
0.90 0.50 0.64 0.00 0.00
0.90 0.55 0.56 0.00 0.00
0.90 0.60 0.49 0.00 0.00
0.90 0.65 0.42 0.00 0.00
0.90 0.70 0.35 0.00 0.00
0.90 0.75 0.29 0.00 0.00
0.90 0.80 0.22 0.00 0.00
0.90 0.85 0.17 0.00 0.00
0.90 0.90 0.11 0.00 0.00
0.90 0.95 0.05 0.00 0.00
0.90 1.00 0.00 0.00 0.00
0.95 0.05 1.00 1.00 0.51
0.95 0.10 1.00 0.90 0.00
0.95 0.15 1.00 0.66 0.00
0.95 0.20 1.00 0.43 0.00
0.95 0.25 1.00 0.21 0.00
0.95 0.30 1.00 0.00 0.00
0.95 0.35 0.90 0.00 0.00
0.95 0.40 0.81 0.00 0.00
0.95 0.45 0.73 0.00 0.00
0.95 0.50 0.65 0.00 0.00
0.95 0.55 0.57 0.00 0.00
0.95 0.60 0.49 0.00 0.00
0.95 0.65 0.42 0.00 0.00
0.95 0.70 0.35 0.00 0.00
0.95 0.75 0.29 0.00 0.00
0.95 0.80 0.23 0.00 0.00
0.95 0.85 0.17 0.00 0.00
0.95 0.90 0.11 0.00 0.00
0.95 0.95 0.05 0.00 0.00
0.95 1.00 0.00 0.00 0.00
1.00 0.05 1.00 1.00 0.56
1.00 0.10 1.00 0.93 0.00
1.00 0.15 1.00 0.69 0.00
1.00 0.20 1.00 0.47 0.00
1.00 0.25 1.00 0.25 0.00
1.00 0.30 1.00 0.04 0.00
1.00 0.35 0.92 0.00 0.00
1.00 0.40 0.83 0.00 0.00
1.00 0.45 0.74 0.00 0.00
1.00 0.50 0.65 0.00 0.00
1.00 0.55 0.57 0.00 0.00
1.00 0.60 0.50 0.00 0.00
1.00 0.65 0.42 0.00 0.00
1.00 0.70 0.35 0.00 0.00
1.00 0.75 0.29 0.00 0.00
1.00 0.80 0.23 0.00 0.00
1.00 0.85 0.17 0.00 0.00
1.00 0.90 0.11 0.00 0.00
1.00 0.95 0.05 0.00 0.00
1.00 1.00 0.00 0.00 0.00
